id,name,description,artifact
org.openrewrite.node.migrate.util.use-native-type-checking-methods,Replace deprecated `util.isX()` methods with native JavaScript,The `util` module's type-checking methods have been removed in Node 22.,:@openrewrite/recipes-nodejs:
org.openrewrite.java.logging.containerized.ContainerizeLog4j2PropertiesConfiguration,Containerize Log4j2 Properties configuration,Transforms Log4j2 Properties configuration to write logs to stdout instead of files suitable for containerized environments.,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.ContainerizeLog4j2XmlConfiguration,Containerize Log4j2 XML configuration,Transforms Log4j2 XML configuration to write logs to stdout instead of files suitable for containerized environments.,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.ContainerizeLog4j2YamlConfiguration,Containerize Log4j2 YAML configuration,Transforms Log4j2 YAML configuration to write logs to stdout instead of files suitable for containerized environments. (Implementation in progress),io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.ContainerizeLogbackConfiguration,Containerize Logback configuration,Transforms Logback XML configuration to write logs to stdout instead of files suitable for containerized environments.,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.ReplaceFileLoggingWithStdout,Replace file logging with stdout,Transforms direct file writing operations (FileWriter PrintWriter FileOutputStream) to use System.out instead suitable for containerized environments.,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.ContainerizeLogging,Containerize logging configuration,Transforms logging configurations to write to stdout instead of files  making them suitable for containerized environments. This composite recipe applies transformations for multiple logging frameworks including Log4j2 Logback Log4j 1.x and Java Util Logging. ,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.log4j2.ContainerizeLog4j2,Containerize Log4j2 configuration,Transforms all Log4j2 configuration formats (XML Properties YAML JSON) to write logs to stdout instead of files. ,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
org.openrewrite.java.logging.containerized.logback.ContainerizeLogback,Containerize Logback configuration,Transforms Logback XML configuration files (logback.xml logback-spring.xml) to write logs to stdout instead of files. ,io.moderne.recipe:rewrite-containerized-logging:0.1.0-20251019.170238-104
io.moderne.cryptography.FindRSAKeyGenParameters,Find RSA key generation parameters,Finds RSAKeyGenParameterSpec instantiations and extracts their parameter values into a data table.,io.moderne.recipe:rewrite-cryptography:0.11.0-20251021.170654-11
io.moderne.cryptography.FindSSLSocketParameters,Find SSL socket configuration parameters,Finds SSLSocket setter method invocations and extracts their parameter values into a data table.,io.moderne.recipe:rewrite-cryptography:0.11.0-20251021.170654-11
io.moderne.cryptography.FindSecurityModifications,Find Security class modifications,Finds invocations of java.security.Security methods that modify security configuration such as removeProvider addProvider insertProviderAt setProperty and removeProperty.,io.moderne.recipe:rewrite-cryptography:0.11.0-20251021.170654-11
io.moderne.cryptography.FindSecuritySetProperties,Find `Security.setProperty(..)` calls for certain properties,There is a defined set of properties that should not be set using `Security.setProperty(..)` as they can lead to security vulnerabilities.,io.moderne.recipe:rewrite-cryptography:0.11.0-20251021.170654-11
io.moderne.cryptography.PostQuantumCryptography,Post quantum cryptography,This recipe searches for instances in code that may be impacted by post quantum cryptography. Applications may need to support larger key sizes different algorithms or use crypto agility to handle the migration. The recipe includes detection of hardcoded values that affect behavior in a post-quantum world programmatic configuration that may prevent algorithm changes and general cryptographic usage patterns that should be reviewed.,io.moderne.recipe:rewrite-cryptography:0.11.0-20251021.170654-11
io.moderne.devcenter.JUnitJupiterUpgrade,Move to JUnit 6,Move to JUnit Jupiter.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.JavaVersionUpgrade,Move to a later Java version,Determine the current state of a repository relative to a desired Java version upgrade.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.LibraryUpgrade,Library upgrade,Determine the current state of a repository relative to a desired library upgrade.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.ParentPomUpgrade,Parent POM upgrade,Determine the current state of a repository relative to a desired parent POM upgrade.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.ReportAsSecurityIssues,Report as security issues,Look for results produced by recipes in the same recipe list that this recipe is part of and report them as security issues in DevCenter.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.QuarkusDevCenter,DevCenter for Quarkus,A DevCenter that tracks the latest Quarkus framework versions and applies best practices. This DevCenter includes recipes to upgrade Quarkus versions migrate from deprecated APIs and ensure compatibility with the latest Java versions and testing frameworks.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeQuarkus3_x,Upgrade to Quarkus 3.26,Upgrades Quarkus dependencies to version 3.26.x including core extensions and tooling.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeQuarkusUniverseBom,Upgrade Quarkus Universe BOM,Upgrades the Quarkus Universe BOM parent to the latest version.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.ApacheDevCenter,DevCenter for Apache,A DevCenter that tracks the latest Apache Maven parent POM versions and applies best practices.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.ApacheMavenDevCenter,DevCenter for Apache Maven,A DevCenter that tracks the latest Apache Maven parent POM versions and applies best practices. This DevCenter includes recipes to upgrade the parent POMs of Apache Maven as well as a collection of best practices for Maven POMs.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeApacheParent,Upgrade Apache Parent POM,Upgrades the Apache parent POM to the latest version.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeMavenParent,Upgrade Apache Maven Parent,Upgrades the Apache Maven parent POM to the latest version.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeMavenPluginsParent,Upgrade Apache Maven Parent,Upgrades the Apache Maven parent POM to the latest version.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.UpgradeMavenSharedParent,Upgrade Apache Maven Parent,Upgrades the Apache Maven parent POM to the latest version.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.ApacheMavenBestPractices,Apache Maven best practices,A collection of recipes that apply best practices to Maven POMs. Some of these recipes affect build stability so they are reported as security issues in the DevCenter card.,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.DevCenterStarter,DevCenter,This is a default DevCenter configuration that can be used as a starting point for your own DevCenter configuration. It includes a combination of upgrades migrations and security fixes. You can customize this configuration to suit your needs. For more information on how to customize your DevCenter configuration see the [DevCenter documentation](https://docs.moderne.io/administrator-documentation/moderne-platform/how-to-guides/recipe-based-devcenter-beta/).,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.devcenter.SecurityStarter,OWASP top ten,This recipe is a starter card to reveal common OWASP Top 10 issues in your source code. You can customize this configuration to suit your needs. For more information on how to customize your DevCenter configuration see the [DevCenter documentation](https://docs.moderne.io/administrator-documentation/moderne-platform/how-to-guides/recipe-based-devcenter-beta/).,io.moderne.recipe:rewrite-devcenter:1.11.0-20251021.170730-11
io.moderne.elastic.elastic9.ChangeApiNumericFieldType,Change numeric field type with conversion,Adds conversion methods with null checks for numeric type changes in Elasticsearch 9 API,io.moderne.recipe:rewrite-elastic:0.4.0-20251021.171041-11
